Date,Open,High,Low,Close,Adj Close,Volume
2020-06-17,4.420000,4.440000,4.380000,4.410000,4.350628,31784500
2020-06-18,4.390000,4.410000,4.350000,4.370000,4.311167,26224100
2020-06-19,4.420000,4.420000,4.300000,4.330000,4.271705,21062200
2020-06-22,4.310000,4.370000,4.290000,4.330000,4.271705,20886700
2020-06-23,4.390000,4.410000,4.330000,4.330000,4.271705,20228600
2020-06-24,4.310000,4.320000,4.170000,4.200000,4.143456,36423100
2020-06-25,4.180000,4.450000,4.150000,4.450000,4.390089,43493900
2020-06-26,4.420000,4.440000,4.330000,4.340000,4.281571,40939600
2020-06-29,4.360000,4.410000,4.310000,4.350000,4.291436,30304200
2020-06-30,4.300000,4.410000,4.300000,4.400000,4.340763,21533700
2020-07-01,4.360000,4.410000,4.340000,4.350000,4.291436,24728800
2020-07-02,4.430000,4.500000,4.430000,4.440000,4.380225,26431200
2020-07-06,4.630000,4.750000,4.590000,4.600000,4.538070,56523000
2020-07-07,4.570000,4.580000,4.300000,4.310000,4.251975,59104900
2020-07-08,4.160000,4.210000,4.110000,4.150000,4.094129,56456500
2020-07-09,4.140000,4.210000,4.060000,4.170000,4.113859,37914500
2020-07-10,4.110000,4.160000,4.090000,4.120000,4.064532,25485100
2020-07-13,4.240000,4.310000,4.180000,4.180000,4.123725,37504700
